sheepid,breed,sex,slaughgr,slweight-kg(INPUT),woolfr,blood,feet,pelt,fullGI,mesent,epipl,liver,spleen,pluck,head,warmcarc,kidney,KKCF,tail,coldcarc,mw%,WtBefDIS,LEG,CHUMP,LOIN,BREAST,BESTEND,MIDNECK,SHOULDER,NECK
201,1,1,1,12.39999962,150,575,450,1250,1400,100,150,275,30,425,635,6850,32,122,32,6612,25,3280,820,307,336,323,236,477,665,110
202,1,1,1,12.5,130,575,475,1245,1500,75,75,300,50,525,650,6800,32,78,32,6542,25,3180,803,298,322,290,242,454,682,94
203,1,1,1,12.30000019,140,600,475,1200,1300,100,125,275,50,400,625,6875,32,118,44,6776,25,3350,812,350,328,316,238,500,670,130
204,1,1,1,12.39999962,120,625,450,1225,1375,125,250,300,50,400,650,6850,34,154,32,6642,25,3290,846,274,358,362,228,478,642,106
205,1,0,1,9.5,150,475,375,1000,1375,70,50,225,25,375,525,4825,26,74,32,4710,25,2280,608,202,222,192,180,328,464,66
206,1,0,1,9.5,120,450,350,980,1625,60,70,175,25,275,525,4825,22,84,24,4712,25,2320,568,210,282,222,182,334,452,64
207,1,0,1,9.5,120,475,375,1075,1300,75,100,200,25,350,550,4800,24,66,20,4590,25,2300,584,224,226,206,180,342,466,78
208,1,0,1,9.5,140,375,300,1000,1625,50,125,225,25,300,500,4600,28,70,22,4434,25,2160,546,220,216,180,170,294,456,72
226,1,1,2,16.89999962,425,425,420,1625,3750,75,120,325,20,400,800,7775,31,84,34,7564,35,3740,1010,325,360,350,280,560,725,125
242,1,1,2,17.5,275,750,425,1600,4900,175,110,425,35,400,825,7050,37,44,20,6750,35,3350,780,260,410,270,290,560,630,140
235,1,1,2,17.89999962,460,575,375,1740,4125,110,130,350,25,350,700,7250,32,98,50,7000,35,3375,855,290,315,335,221,535,680,110
268,1,1,2,17.89999962,300,550,375,1650,5000,140,150,425,50,350,675,7250,36,84,30,6900,35,3360,835,300,310,375,240,495,650,130
227,1,0,2,14,325,420,350,1525,2800,125,150,250,50,350,650,6200,28,64,35,6050,35,2900,730,200,310,260,220,450,530,100
300,1,0,2,14.80000019,385,450,325,1765,1850,110,140,325,28,300,625,6600,28,77,40,6400,35,3065,810,230,280,330,220,460,585,100
228,1,0,2,13,275,500,325,1225,2300,150,140,275,30,350,580,5775,14,59,35,5700,35,2800,720,240,265,265,210,410,555,105
325,1,0,2,13.19999981,280,460,325,1075,2590,100,125,300,30,325,625,6275,26,67,25,6150,35,2992,752,277,316,280,249,381,608,116
273,1,1,3,25.60000038,475,900,570,2125,6825,270,225,500,50,450,925,11800,39,118,68,11750,50,5575,1295,490,550,545,450,895,1110,175
220,1,1,3,25.39999962,625,800,525,2450,5025,275,300,550,40,525,925,12050,42,242,60,11600,50,5460,1330,450,560,560,540,810,1020,140
259,1,1,3,25.29999924,540,1150,525,2060,5500,250,610,475,70,550,1025,12400,47,281,34,12075,50,5860,1360,587,610,657,462,858,1100,200
225,1,1,3,25.60000038,580,980,570,2320,5550,250,275,550,50,560,925,12350,49,161,61,12000,50,5995,1425,515,662,612,492,908,1100,256
249,1,0,3,19.5,485,550,375,1765,4475,200,225,350,50,375,700,9350,32,167,30,8950,50,4200,930,470,450,450,330,410,910,185
236,1,0,3,18.60000038,500,575,425,1775,3950,185,250,375,50,425,750,8650,38,184,70,8200,50,3860,960,350,385,448,290,515,734,170
221,1,0,3,19.5,525,650,375,1800,2950,325,525,400,50,375,750,10000,33,350,50,9750,50,4570,1110,410,505,510,405,610,865,145
238,1,0,3,19.39999962,525,740,375,1850,3150,325,335,350,25,325,625,10000,38,337,50,9900,50,4780,1070,420,520,590,380,735,900,150
262,1,1,4,34,925,1225,675,3225,6750,450,850,800,75,850,1150,17000,55,439,51,16600,75,7965,1670,740,974,858,697,1150,1502,304
234,1,1,4,34.79999924,1275,1650,775,3300,6150,450,825,775,100,900,1325,16650,63,322,43,16350,75,7830,1742,816,886,776,634,1062,1546,310
254,1,1,4,35.5,1175,1075,750,3400,7200,525,850,720,50,725,1350,16800,54,218,38,16475,75,8010,1652,800,832,964,678,1170,1608,264
224,1,1,4,35,1100,1230,670,3180,6500,680,800,620,60,725,1350,17750,60,374,74,17700,75,8300,1896,766,832,904,670,1170,1590,352
250,1,0,4,26.70000076,600,1125,525,1975,3650,550,1175,550,60,575,900,15300,42,654,54,14850,75,6900,1500,690,778,702,574,1030,1342,222
277,1,0,4,26.10000038,950,1020,510,2160,4850,550,675,540,50,600,950,13700,41,445,50,13350,75,6300,1422,638,656,708,513,852,1247,255
261,1,0,4,26.5,800,950,550,2250,5350,575,650,580,35,600,925,13350,40,391,64,13050,75,6055,1278,638,688,696,508,820,1194,212
306,1,0,4,26.29999924,975,925,550,2350,5100,450,625,580,50,525,975,13250,38,496,54,12800,75,5864,1276,632,660,646,490,790,1148,198
211,1,1,5,50.20000076,1300,2025,925,4500,8500,2075,2375,1125,115,970,1750,25200,74,968,114,24600,100,11582,2246,936,1294,1686,912,1846,2200,450
199,1,1,5,51.09999847,1200,2300,900,4800,8000,1525,2800,1175,80,1000,1750,25600,70,874,98,25000,100,11660,2308,1056,1388,1488,1058,1806,2110,422
247,1,1,5,50.20000076,1400,1925,975,3800,8000,1800,2725,1250,80,1025,1650,26100,74,876,90,25400,100,11840,2488,1084,1304,1454,976,1838,2242,444
255,1,1,5,50,1100,1875,925,4400,6975,1075,1475,1200,100,1050,1625,27200,60,1046,122,26450,100,12630,2406,1000,1488,1570,1090,2210,2342,522
282,1,0,5,39.09999847,1200,1725,725,3250,7000,1225,1500,1000,110,875,1225,20250,68,1014,80,19800,100,8964,1962,824,1090,1182,758,1172,1692,252
239,1,0,5,38.5,1100,1675,725,2975,5450,1050,1750,700,100,850,1225,21200,50,746,92,20600,100,9540,2040,896,1170,1092,836,1292,1884,308
256,1,0,5,37.59999847,1000,1425,650,3025,5300,1125,1500,850,80,800,1250,21200,54,1212,74,20750,100,9020,1878,980,1058,1260,794,992,1736,308
246,1,0,5,38,1000,1750,750,2875,5760,1000,1400,700,100,800,1275,21250,52,972,84,20600,100,9370,1950,984,1076,1090,866,1218,1910,260
1653,2,1,1,15.19999981,210,575,410,1490,3000,130,130,280,30,430,654,7125,28,56,43,6800,25,3223,850,309,303,208,247,491,677,116
1670,2,1,1,15.60000038,225,750,501,1390,2650,125,120,277,25,419,671,7675,33,114,33,7400,25,3570,960,302,342,255,280,515,758,147
1664,2,1,1,16,230,725,475,1510,2650,174,184,332,32,400,706,7700,33,88,47,7550,25,3630,918,303,415,318,296,526,718,109
1727,2,1,1,14.5,200,600,475,1350,2325,120,96,260,25,385,625,7175,32,73,36,6900,25,3455,918,296,314,264,262,519,706,168
1476,2,0,1,13.30000019,130,517,360,1125,2000,98,152,335,34,399,614,6925,30,112,39,6700,25,3235,742,330,430,218,252,473,666,105
1644,2,0,1,13.5,225,550,395,1484,1750,105,132,262,34,364,647,6825,32,101,33,6550,25,3184,890,320,297,213,240,422,655,113
1654,2,0,1,13.30000019,180,600,400,1420,2450,120,111,258,32,399,600,6125,30,51,37,5950,25,2882,793,251,289,220,219,392,610,87
1726,2,0,1,13.39999962,170,606,450,1155,2125,120,129,256,40,361,692,6700,33,88,28,6650,25,3200,811,330,319,245,233,406,728,89
1,2,1,2,20.79999924,365,1100,525,1765,4050,165,275,510,75,520,875,9875,37,69,57,9750,35,4765,1290,434,529,352,371,671,928,173
49,2,1,2,21.5,375,950,575,1925,4675,170,80,525,50,525,940,10300,46,69,23,9850,35,4750,1276,382,472,394,320,750,964,162
5,2,1,2,21.60000038,360,860,575,2025,5100,175,170,475,40,575,975,10300,45,94,47,9900,35,4875,1262,436,516,408,368,746,956,176
27,2,1,2,22,400,825,600,1850,4600,160,110,500,50,625,980,10850,50,109,69,10450,35,5140,1274,452,630,408,402,780,1012,182
2,2,0,2,17.39999962,330,825,380,1530,3550,160,170,400,55,375,650,8400,37,89,31,8300,35,4080,1030,394,409,358,334,620,765,177
12,2,0,2,17.79999924,345,1150,475,2080,3975,140,110,475,35,400,750,8000,42,60,37,7900,35,3820,1020,403,397,318,257,544,729,135
20,2,0,2,18.20000076,350,820,520,1620,3700,125,175,375,40,500,750,8975,40,114,35,8750,35,4145,1070,423,469,311,337,586,806,140
