Regressor,Data_preprocessing,Average R2 test score,Average MAE test score,Average RMSE test score,Average MAPE test score,Average R2 train score,Average MAE train score,Average RMSE train score,Average MAPE train score,Average test time,Average train time
LinearRegression(),none,0.9028857721844528,163.98714170485428,211.98937661196564,0.1696759793063327,0.9234988462180841,152.471071845586,200.80639145002428,0.15904833367749832,0.007197952270507813,0.003596973419189453
DecisionTreeRegressor(),none,0.8721613651627484,160.34670429208472,228.82350471142894,0.13021162690913876,0.9972754374196429,10.937300382366171,35.90947895033315,0.012176997907163029,0.006396675109863281,0.0037977218627929686
RandomForestRegressor(),none,0.906864394299163,142.16195194165738,195.734029362431,0.11722461729410694,0.9876829044408408,54.098936833038124,78.03488419784522,0.04701474808750185,0.013192319869995117,0.11953148841857911
MultiOutputRegressor(estimator=Ridge(random_state=96)),none,0.9032239761460275,162.86513542393618,211.6037724340415,0.16402640115163258,0.9233204166954329,152.06314932174664,201.15863424275216,0.15458113406823376,0.008595085144042969,0.016790008544921874
MultiOutputRegressor(estimator=LinearSVR(max_iter=10000)),none,0.5617393960418092,290.14501154025777,390.33149520099704,0.2220421988270974,0.5851862730752877,275.52433806482316,387.3772967141831,0.22042237735291964,0.009194707870483399,0.6844125270843506
MultiOutputRegressor(estimator=SVR(kernel='poly')),none,0.5032344061775375,874.0819310041439,1090.6392882165273,0.3757571204053904,0.5616109018632222,857.7091688409095,1102.3421875893553,0.3617169089897945,0.009990787506103516,0.023988962173461914
MultiOutputRegressor(estimator=SVR()),none,0.02492807454365717,1014.7935997333919,1291.6074183134454,0.4936767681985839,0.061396091836922274,996.4795862439648,1311.9758826521568,0.4809200703230587,0.014189672470092774,0.024784564971923828
"RegressorChain(base_estimator=Ridge(random_state=96), order='random')",none,0.9032239761460275,162.86513542393624,211.60377243404156,0.16402640115163317,0.9233204166954329,152.0631493217466,201.1586342427521,0.15458113406823373,0.00699615478515625,0.014589452743530273
"RegressorChain(base_estimator=LinearSVR(max_iter=10000), order='random')",none,0.6179643676800838,335.48543204295737,452.00944229844856,0.2371483499647789,0.6427029193397689,311.69288628678794,432.7535289042811,0.2334236547889545,0.008592033386230468,1.1737480640411377
RegressorChain(base_estimator=SVR(kernel='poly')),none,0.3511821416004041,925.7902896143436,1164.493506138755,0.4120304044795942,0.4050202222358549,909.5212157853508,1180.0655739628285,0.3991261508655568,0.009596109390258789,0.022186708450317384
RegressorChain(base_estimator=SVR()),none,-0.0018191429133324554,1017.4602880726786,1294.3800296881852,0.5029643457039943,0.03687502939715796,999.176346781483,1314.7226292236687,0.49019991714058514,0.015788745880126954,0.0257901668548584
LinearRegression(),Scaling (Min-Max),0.9028857721844517,0.047980182167080554,0.06310403073645335,4236885170340.9326,0.9234988462180841,0.04462849471549773,0.0597961642230996,3834716410205.0327,0.0007997512817382813,0.00019989013671875
DecisionTreeRegressor(),Scaling (Min-Max),0.8830774049913994,0.04705053796163452,0.0670589334120631,2261626756863.98,0.9972754374196429,0.003135964600769223,0.010589934530075052,547220557943.41394,0.0007983207702636719,0.0007999420166015625
RandomForestRegressor(),Scaling (Min-Max),0.9114004763159821,0.042018576605521524,0.058920124194443244,2848061304106.5454,0.987225107032067,0.016679941623025125,0.024331712068766116,1119735252051.7441,0.00719599723815918,0.11674313545227051
MultiOutputRegressor(estimator=Ridge(random_state=96)),Scaling (Min-Max),0.8742187898631419,0.059432364559859396,0.0758019841275743,4642540152766.496,0.8972392700191877,0.055619320959573545,0.07261284562461397,3963778165179.2314,0.003196907043457031,0.014789676666259766
MultiOutputRegressor(estimator=LinearSVR(max_iter=10000)),Scaling (Min-Max),0.8981137282415694,0.047897142207012224,0.06498757727626141,4380373488816.449,0.913405172019005,0.043661069538729745,0.06302972911584243,3736894376326.379,0.002998065948486328,0.0357780933380127
MultiOutputRegressor(estimator=SVR(kernel='poly')),Scaling (Min-Max),0.8748356226151479,0.0607346762258845,0.07552769076022094,8701377003314.783,0.9197576274139813,0.055543751959839106,0.06691406240426055,8068666178951.185,0.003999185562133789,0.03217802047729492
MultiOutputRegressor(estimator=SVR()),Scaling (Min-Max),0.8691764148005156,0.06511453526687157,0.07961179311265767,9097087508335.652,0.9128930380152184,0.059424341287010476,0.07014504798151763,7907906369488.208,0.004797220230102539,0.015588951110839844
"RegressorChain(base_estimator=Ridge(random_state=96), order='random')",Scaling (Min-Max),0.8742187898631419,0.05943236455985938,0.0758019841275743,4642540152766.495,0.8972392700191877,0.05561932095957356,0.07261284562461397,3963778165179.233,0.002195453643798828,0.01219635009765625
